path,label,label_idx
/kaggle/input/flowers-recognition/flowers/dandelion/483097906_2c35054346.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/14457225751_645a3784fd_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/34310456510_a4ceda64da_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/rose/5335931263_18edb092b0_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/14928117202_139d2142cc_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/daisy/8696022686_1f8d62c5cb_m.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/dandelion/17029965300_8e755c2214_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/tulip/14238880681_2b86165b41_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/tulip/7166560822_27b1d1d132_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/rose/14880561916_79aeb812fd_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/daisy/5944315415_2be8abeb2f_m.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/20692436712_75b2deaedf_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/9231555352_d2dd8f8e68_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/rose/4612826243_7d86870a1b_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/rose/5419629292_2f06e4b295.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/dandelion/8475758_4c861ab268_m.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/tulip/14055601247_2e647ba9b0_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/daisy/510844526_858b8fe4db.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/18378581986_5cd1494d08_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/rose/4910094611_8c7170fc95_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/14889779907_3d401bbac7_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/daisy/14399435971_ea5868c792.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/2421740440_f82ced8582.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/9482209981_bf7bf6022b_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/dandelion/3585220976_5acac92d1c.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/daisy/34566613262_fefbcc279a_n.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/dandelion/5110102140_787d325757_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/5999024446_5721493894.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/rose/5001847693_77a9fb4f3c_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/tulip/16074109313_2cc14c7d16.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/tulip/6187740107_9813ccc41e.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/daisy/1392131677_116ec04751.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/rose/3655527028_0fab2b547d_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/tulip/2425067141_b27043a800_m.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/rose/174109630_3c544b8a2f.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/daisy/10559679065_50d2b16f6d.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/rose/5001846301_9380fbe900_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/1314584013_fe935fdeb1_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/dandelion/4632251871_9f324a7bb5.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/rose/5001845055_69f04d9779_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/daisy/3758221664_b19116d61f.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/daisy/33807950584_f5b63715e4_n.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/4590703575_6371c0a186_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/14646279002_9cdf97be97_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/dandelion/17420983523_2e32d70359.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/2522454811_f87af57d8b.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/17367866236_61abd4d243_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/265422922_bbbde781d2_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/dandelion/33869330174_b259025135_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/tulip/12557176134_ecbf15885b.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/daisy/14485782498_fb342ec301.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/8688502760_1c8d6de921_m.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/4745991955_6804568ae0_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/rose/20596941736_f2c5f496cf.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/3889699518_77bf85bf44_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/tulip/6982913043_3b873c6a25.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/7581713708_8eae6794f2.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/40411019_526f3fc8d9_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/tulip/14093907931_dd8f642574.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/dandelion/5416388641_c66d52d2ff_m.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/daisy/34546994701_a000b283f1_n.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/2399982682_16929d1f6d_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/dandelion/34699848885_a832ee03ab_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/5605093210_5fecb71c61.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/rose/5349859602_1ab3356c64_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/tulip/4590702749_e1df8e0c1b.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/dandelion/8327657321_2cbceec396_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/dandelion/4290112545_3528055993_m.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/6606823367_e89dc52a95_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/864957037_c75373d1c5.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/daisy/4561871220_47f420ca59_m.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/rose/16643944275_3cd4cd966c.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/rose/4061451210_1650590c6a.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/rose/12407768513_3440238148_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/rose/5060519573_c628547e20_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/daisy/15029936576_8d6f96c72c_n.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/tulip/19868509504_b2fc173274_n.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/sunflower/5180861654_0741222c62_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/daisy/3025866885_22fb0b61c6_n.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/dandelion/2512977446_ac498955ee.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/daisy/909609509_a05ccb8127.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/dandelion/15005530987_e13b328047_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/rose/1793211631_68c31a74dc.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/2733109082_1351f6738a_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/rose/159079265_d77a9ac920_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/dandelion/9152356642_06ae73113f.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/6482016439_b0d06dac04.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/tulip/13539404903_cd113e3e9b.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/rose/15509799653_0562d4a4fa.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/dandelion/5762590366_5cf7a32b87_n.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/daisy/10555749515_13a12a026e.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/daisy/14421389519_d5fd353eb4.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/dandelion/22196426956_eca94f6faa_m.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/3062794421_295f8c2c4e.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/969913643_9d5cd2fe45_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/daisy/695778683_890c46ebac.jpg,daisy,0
/kaggle/input/flowers-recognition/flowers/rose/2960709681_e95940c0f0_n.jpg,rose,2
/kaggle/input/flowers-recognition/flowers/sunflower/418056361_1dfac1c151_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/4895721242_89014e723c_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/3749091071_c146b33c74_n.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/sunflower/15240466871_ec45b65554_m.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/dandelion/501987288_c69c4e0c90_m.jpg,dandelion,1
/kaggle/input/flowers-recognition/flowers/sunflower/215798354_429de28c2d.jpg,sunflower,3
/kaggle/input/flowers-recognition/flowers/tulip/16702188449_3dacce90b2_m.jpg,tulip,4
/kaggle/input/flowers-recognition/flowers/dandelion/3662701865_3ff283a33a_n.jpg,dandelion,1
